"isbn","title","user_id","score","review_time","review_summary","helpful_yes","helpful_total"
"0826414346","Database Tales","sample-user-a","5.0","2024-02-01","Latest duplicate wins","3","4"
"0826414346","Database Tales","sample-user-a","4.0","2023-02-01","Older duplicate","0","0"
"0195153448","Relational Myths","sample-user-a","4.5","2024-03-01","Valid rating","1","1"
"0195153448","Relational Myths","sample-user-b","4.0","2024-03-02","Invalid helpfulness is nulled","9","2"
"B000NSLVCU","ASIN Only Item","sample-user-c","5.0","2024-03-03","Unsupported identifier scheme","0","0"
"1234567890","Bad Checksum","sample-user-d","5.0","2024-03-04","Invalid ISBN checksum","0","0"
"0195153448","Relational Myths","","4.0","2024-03-05","Missing user","0","0"
"0195153448","Relational Myths","sample-user-e","0.0","2024-03-06","Out of range score","0","0"
"0060973129","","sample-user-f","4.0","2024-03-07","No title from any source","0","0"
"0393045218","Shared Synthetic Title","sample-user-g","5.0","2024-03-08","First ISBN for shared title","0","0"
"0399135782","Shared Synthetic Title","sample-user-h","4.5","2024-03-09","Second ISBN for shared title","0","0"
"0399135782","Shared Synthetic Title","sample-user-i","5.5","2024-03-10","Out of range score","0","0"
"0399135782","Shared Synthetic Title","sample-user-j","4.0","2024-99-99","Invalid date","0","0"
